ColonyID,Colour,Day,InNestFrames,TotalFrames,Treatment,InfectionLoad,InfectionStatus,AssignmentRate,OutNestFrames,OutNestRatio
C_5,GG,1,125932,127866,C,0,uninfected,0.887958333333333,1934,0.0151252092033848
C_5,GR,1,117139,126151,C,0,uninfected,0.876048611111111,9012,0.0714381970812756
C_5,RB,1,120773,121118,C,0,uninfected,0.841097222222222,345,0.00284846183061147
C_5,RG,1,114308,116831,C,0,uninfected,0.811326388888889,2523,0.0215952957691024
C_5,RR,1,121176,121439,C,0,uninfected,0.843326388888889,263,0.00216569635784221
C_5,BB,2,84350,126063,C,0,uninfected,0.8754375,41713,0.330890110500305
C_5,BG,2,97753,139704,C,0,uninfected,0.970166666666667,41951,0.300284888049018
C_5,BR,2,116044,117530,C,0,uninfected,0.816180555555556,1486,0.0126435803624606
C_5,GG,2,113739,117301,C,0,uninfected,0.814590277777778,3562,0.0303663225377448
C_5,GR,2,118670,120805,C,0,uninfected,0.838923611111111,2135,0.0176731095567236
C_5,RB,2,118332,118754,C,0,uninfected,0.824680555555556,422,0.00355356451151119
C_5,RG,2,117194,119658,C,0,uninfected,0.830958333333333,2464,0.0205920205920206
C_5,RR,2,115913,118353,C,0,uninfected,0.821895833333333,2440,0.0206162919402128
C_5,BB,3,116583,119242,C,0,uninfected,0.828069444444444,2659,0.0222991898827594
C_5,BG,3,110456,140338,C,0,uninfected,0.974569444444444,29882,0.212928786216135
C_5,BR,3,98434,99039,C,0,uninfected,0.687770833333333,605,0.00610870465170286
C_5,GG,3,105808,106729,C,0,uninfected,0.741173611111111,921,0.00862933223397577
C_5,GR,3,123678,131910,C,0,uninfected,0.916041666666667,8232,0.0624061860359336
C_5,RB,3,103529,105069,C,0,uninfected,0.729645833333333,1540,0.0146570349008747
C_5,RG,3,106448,107999,C,0,uninfected,0.749993055555556,1551,0.0143612440855934
C_5,RR,3,112484,116003,C,0,uninfected,0.805576388888889,3519,0.0303354223597666
C_5,BB,4,80168,119509,C,0,uninfected,0.829923611111111,39341,0.329188596674727
C_5,BG,4,57514,124825,C,0,uninfected,0.866840277777778,67311,0.539242940116163
C_5,BR,4,82440,95944,C,0,uninfected,0.666277777777778,13504,0.140748770115901
C_5,GG,4,84275,99799,C,0,uninfected,0.693048611111111,15524,0.155552660848305
C_5,GR,4,67728,101254,C,0,uninfected,0.703152777777778,33526,0.331107906848125
C_5,RB,4,96449,120287,C,0,uninfected,0.835326388888889,23838,0.198176028997315
C_5,RG,4,83026,109295,C,0,uninfected,0.758993055555556,26269,0.240349512786495
C_5,RR,4,58523,68397,C,0,uninfected,0.474979166666667,9874,0.144363056859219
C_5,BB,5,67888,71584,C,0,uninfected,0.497111111111111,3696,0.0516316495306214
C_5,BG,5,48868,68241,C,0,uninfected,0.473895833333333,19373,0.28389091601823
C_5,BR,5,37807,39694,C,0,uninfected,0.275652777777778,1887,0.0475386708318638
C_5,GG,5,80391,88227,C,0,uninfected,0.6126875,7836,0.0888163487367813
C_5,GR,5,61750,85091,C,0,uninfected,0.590909722222222,23341,0.274306330869305
C_5,RB,5,67816,73073,C,0,uninfected,0.507451388888889,5257,0.0719417568732637
C_5,RG,5,51306,68885,C,0,uninfected,0.478368055555556,17579,0.255193438339261
C_5,RR,5,43000,45731,C,0,uninfected,0.317576388888889,2731,0.0597187903172902
C_5,BB,6,71886,76016,C,0,uninfected,0.527888888888889,4130,0.054330667227952
C_5,BG,6,66221,69889,C,0,uninfected,0.485340277777778,3668,0.0524832233971011
C_5,BR,6,49760,51908,C,0,uninfected,0.360472222222222,2148,0.0413809046775064
C_5,GG,6,65837,71377,C,0,uninfected,0.495673611111111,5540,0.0776160387799992
C_5,GR,6,34626,40991,C,0,uninfected,0.284659722222222,6365,0.155277987850992
C_5,RB,6,61416,62825,C,0,uninfected,0.436284722222222,1409,0.0224273776362913
C_5,RG,6,43056,46976,C,0,uninfected,0.326222222222222,3920,0.0834468664850136
C_5,RR,6,34291,36963,C,0,uninfected,0.2566875,2672,0.0722885047209371
C_6,BB,1,80933,137476,C,0,uninfected,0.954694444444444,56543,0.41129360761151
C_6,BG,1,134422,134479,C,0,uninfected,0.933881944444444,57,0.00042385800013385
C_6,BR,1,123163,124154,C,0,uninfected,0.862180555555556,991,0.00798202232710988
C_6,GG,1,132973,135886,C,0,uninfected,0.943652777777778,2913,0.0214370869699601
C_6,GR,1,122888,123346,C,0,uninfected,0.856569444444444,458,0.0037131321648047
C_6,RB,1,132168,133062,C,0,uninfected,0.924041666666667,894,0.00671867249853452
C_6,RG,1,131454,132423,C,0,uninfected,0.919604166666667,969,0.00731745995786231
C_6,RR,1,67353,136568,C,0,uninfected,0.948388888888889,69215,0.506817116747701
C_6,BB,2,123257,124434,C,0,uninfected,0.864125,1177,0.00945882958033978
C_6,BG,2,113763,114839,C,0,uninfected,0.797493055555556,1076,0.00936963923405812
C_6,BR,2,119481,123036,C,0,uninfected,0.854416666666667,3555,0.0288939822490978
C_6,GG,2,94517,135951,C,0,uninfected,0.944104166666667,41434,0.30477157211054
C_6,GR,2,111963,112444,C,0,uninfected,0.780861111111111,481,0.00427768489203515
C_6,RB,2,110368,114028,C,0,uninfected,0.791861111111111,3660,0.0320973795909777
C_6,RG,2,109493,112665,C,0,uninfected,0.782395833333333,3172,0.0281542626370213
C_6,RR,2,93181,132129,C,0,uninfected,0.9175625,38948,0.29477253290345
C_6,BB,3,91709,115755,C,0,uninfected,0.803854166666667,24046,0.207731847436396
C_6,BG,3,107043,120671,C,0,uninfected,0.837993055555556,13628,0.112935170836406
C_6,BR,3,94296,127232,C,0,uninfected,0.883555555555556,32936,0.25886569416499
C_6,GG,3,61883,125336,C,0,uninfected,0.870388888888889,63453,0.506263164613519
C_6,GR,3,110213,122252,C,0,uninfected,0.848972222222222,12039,0.0984769165330629
C_6,RB,3,110316,117986,C,0,uninfected,0.819347222222222,7670,0.0650077127794823
C_6,RG,3,109543,122217,C,0,uninfected,0.848729166666667,12674,0.103700794488492
C_6,RR,3,62469,131266,C,0,uninfected,0.911569444444444,68797,0.524103728307406
C_6,BB,4,95953,123334,C,0,uninfected,0.856486111111111,27381,0.222006908070767
C_6,BG,4,109791,118832,C,0,uninfected,0.825222222222222,9041,0.0760822000807863
C_6,BR,4,91695,127479,C,0,uninfected,0.885270833333333,35784,0.280705057303556
C_6,GG,4,67557,121162,C,0,uninfected,0.841402777777778,53605,0.442424192403559
C_6,GR,4,91992,121229,C,0,uninfected,0.841868055555556,29237,0.241171666845392
C_6,RB,4,114484,127977,C,0,uninfected,0.888729166666667,13493,0.105433007493534
