ColonyID,Colour,Day,AssignmentRate,MeanSpeed,MedianSpeed,InNestFrame,OutNestFrame,TotalFrame,OutNestRatio,InfectionStatus,InfectionLoad,Treatment
T_10,BB,1,0.946568287037037,0.292254354459385,0.0223042559863423,786026,31809,817835,0.0388941534661637,infected,3,T
T_10,BG,1,0.941780092592593,0.55562611961281,0.0253954435874775,796417,17281,813698,0.0212376090392259,infected,0,T
T_10,BR,1,0.957482638888889,0.387076667441464,0.0232617608269756,795648,31617,827265,0.0382187086362895,infected,10,T
T_10,GG,1,0.941952546296296,0.176031692753932,0.0178852735223737,787510,26337,813847,0.0323611194733162,infected,0,T
T_10,GR,1,0.959349537037037,0.590952278500566,0.0314127469014432,792258,36620,828878,0.0441802050482701,infected,5,T
T_10,RB,1,0.945163194444444,0.290613372222135,0.0185632004288575,788316,28305,816621,0.0346611218668146,infected,NaN,T
T_10,RG,1,0.958658564814815,0.343712690690451,0.0250399508420488,795556,32725,828281,0.0395095384295909,infected,12,T
T_10,RR,1,0.960694444444444,0.396937132073436,0.0274260567561684,812568,17472,830040,0.021049587971664,infected,4,T
T_2,BB,1,0.950392361111111,2.03660032703196,1.91756240229979,818093,3046,821139,0.00370948158594343,infected,17,T
T_2,BG,1,0.950861111111111,2.14460745804202,1.98227202162625,777996,43548,821544,0.0530075078145541,infected,5,T
T_2,BR,1,0.957322916666667,0.452679393823208,0.225870006746924,792185,34942,827127,0.0422450240410481,infected,NaN,T
T_2,GG,1,0.9373125,1.39049166765233,1.06983731387506,801563,8275,809838,0.0102180930013163,infected,5,T
T_2,GR,1,0.936699074074074,2.26311147164848,2.21489914379363,803719,5589,809308,0.00690589985518492,infected,6,T
T_2,RB,1,0.957586805555556,2.51627440170297,2.53727302972996,798550,28805,827355,0.0348157683219416,infected,21,T
T_2,RG,1,0.948133101851852,2.05604094339667,1.9103353185764,807710,11477,819187,0.0140102320959683,infected,22,T
T_2,RR,1,0.936719907407407,2.13835148894233,2.10830754395665,806820,2506,809326,0.00309640367416838,infected,9,T
T_3,BB,1,0.979153935185185,0.0999110222367605,0.001564621925354,721346,124643,845989,0.147334066991415,infected,15,T
T_3,BG,1,0.965265046296296,0.138244232804677,0.00621766463362481,694126,139863,833989,0.167703650767576,infected,7,T
T_3,BR,1,0.993042824074074,0.0381064087473034,0,742883,115106,857989,0.134157897129217,infected,5,T
T_3,GG,1,0.979153935185185,0.0532373569030233,0.00087860795967808,693026,152963,845989,0.180809679558481,infected,9,T
T_3,GR,1,0.979153935185185,0.0459458130054513,0,682345,163644,845989,0.193435139227579,infected,18,T
T_3,RB,1,0.979153935185185,0.043040746803826,0.001564621925354,712871,133118,845989,0.157351927743741,infected,11,T
T_3,RG,1,0.979153935185185,0.0781215295883001,0.00176627480851556,710081,135908,845989,0.160649842964861,infected,8,T
T_3,RR,1,0.979153935185185,0.0545808691053572,0.00163912773132324,718036,127953,845989,0.151246647415037,infected,11,T
T_4,BB,1,0.996271990740741,1.44958558866382,1.0565069356334,839958,20821,860779,0.0241885547858393,infected,7,T
T_4,BG,1,0.999065972222222,2.17268394903575,2.07673357523098,805687,57506,863193,0.0666200953900229,infected,7,T
T_4,BR,1,0.995253472222222,2.77747776501431,2.92667522262722,680667,179232,859899,0.208433781176627,infected,NaN,T
T_4,GG,1,0.983976851851852,1.30654021925955,0.917432063143313,846608,3548,850156,0.00417335171427362,infected,16,T
T_4,GR,1,0.972320601851852,1.7058520630775,1.39277522984094,832067,8018,840085,0.00954427230577858,infected,NaN,T
T_4,RB,1,0.983628472222222,2.3276804485449,2.31631300497833,736532,113323,849855,0.133343923375164,infected,5,T
T_4,RG,1,0.996027777777778,1.59412085153421,1.0811157163884,736112,124456,860568,0.14462076210131,infected,9,T
T_4,RR,1,0.981065972222222,1.86213545604182,1.60318856949299,827003,20638,847641,0.0243475716724415,infected,12,T
T_5,BB,1,0.947770833333333,1.27596461623744,0.946945723753273,812266,6608,818874,0.00806961754799884,infected,11,T
T_5,BG,1,0.934974537037037,1.57347179083697,1.23175278100769,769549,38269,807818,0.0473732944796972,infected,12,T
T_5,BR,1,0.889056712962963,0.823110591706358,0.740505363645711,768105,40,768145,5.20735017477169e-05,infected,NaN,T
T_5,GG,1,0.914722222222222,1.38971031641788,1.04075211223171,759248,31072,790320,0.0393157202145966,infected,13,T
T_5,GR,1,0.92762037037037,0.717327646449375,0.505423341765432,798688,2776,801464,0.003463661499456,infected,5,T
T_5,RB,1,0.921564814814815,0.662156642408091,0.334854166750304,766463,29769,796232,0.0373873443920867,infected,7,T
T_5,RG,1,0.938626157407407,0.292411579894884,0.136157220006289,780097,30876,810973,0.0380727841740724,infected,22,T
T_5,RR,1,0.933864583333333,2.23831766468313,2.13471221987336,728159,78700,806859,0.0975387273364987,infected,10,T
T_6,BB,1,0.942094907407407,1.15908536239154,0.627724155202529,764538,49432,813970,0.0607295109156357,infected,15,T
T_6,BG,1,0.951119212962963,0.35463373374313,0.0452914568264005,802247,19520,821767,0.0237536917398727,infected,NaN,T
T_6,BR,1,0.941513888888889,1.30904079109255,1.01995391636004,786859,26609,813468,0.0327105675945458,infected,7,T
