Colour,ColonyID,Treatment,AssignmentRate,InNestFrame,TotalFrame,InNestRatio,OutNestFrame,OutNestRatio,InfectionStatus,InfectionLoad,ColonyTreatmentAntInfectionStatus
GR,X_5,X,0.787877314814815,662673,680726,0.973479784817974,18053,0.0265202151820263,uninfected,0,X_uninfected
RB,X_5,X,0.784347222222222,662692,677676,0.977889138762477,14984,0.0221108612375235,uninfected,0,X_uninfected
RG,X_5,X,0.686667824074074,575985,593281,0.970846866830389,17296,0.029153133169611,infected,NaN,X_infected
RR,X_5,X,0.788778935185185,654644,681505,0.960585762393526,26861,0.0394142376064739,infected,8,X_infected
BB,X_6,X,0.749510416666667,627819,647577,0.96948934258011,19758,0.0305106574198898,infected,0,X_infected
BG,X_6,X,0.776453703703704,550415,670856,0.820466687336776,120441,0.179533312663224,uninfected,0,X_uninfected
BR,X_6,X,0.810722222222222,655294,700464,0.935514173462162,45170,0.0644858265378377,uninfected,0,X_uninfected
GG,X_6,X,0.786943287037037,586665,679919,0.862845427175884,93254,0.137154572824116,infected,5,X_infected
GR,X_6,X,0.766959490740741,647275,662653,0.976793283966118,15378,0.023206716033882,uninfected,0,X_uninfected
RB,X_6,X,0.788449074074074,627063,681220,0.920499985320455,54157,0.0795000146795455,uninfected,0,X_uninfected
RG,X_6,X,0.83105787037037,645366,718034,0.898795878746689,72668,0.101204121253311,infected,14,X_infected
RR,X_6,X,0.770881944444444,655740,666042,0.984532506959021,10302,0.0154674930409794,infected,12,X_infected
BB,X_7,X,0.778197916666667,583573,672363,0.867943357977759,88790,0.132056642022241,infected,5,X_infected
BG,X_7,X,0.31246875,256833,269973,0.951328466179951,13140,0.0486715338200486,uninfected,0,X_uninfected
BR,X_7,X,0.653274305555556,516747,564429,0.915521704235608,47682,0.084478295764392,uninfected,0,X_uninfected
GG,X_7,X,0.760653935185185,577191,657205,0.878251078430627,80014,0.121748921569373,infected,0,X_infected
GR,X_7,X,0.535243055555556,412577,462450,0.892154827548924,49873,0.107845172451076,uninfected,0,X_uninfected
RB,X_7,X,0.704023148148148,468785,608276,0.770678113224918,139491,0.229321886775082,uninfected,0,X_uninfected
RG,X_7,X,0.399421296296296,298278,345100,0.864323384526224,46822,0.135676615473776,infected,NaN,X_infected
RR,X_7,X,0.585777777777778,455645,506112,0.900284917172484,50467,0.0997150828275164,infected,NaN,X_infected
BB,X_8,X,0.784148148148148,618706,677504,0.913213796523711,58798,0.0867862034762894,uninfected,0,X_uninfected
BG,X_8,X,0.768335648148148,653648,663842,0.98464393635835,10194,0.0153560636416497,infected,11,X_infected
BR,X_8,X,0.748920138888889,645505,647067,0.997586030503796,1562,0.00241396949620365,infected,1,X_infected
GG,X_8,X,0.800497685185185,644546,691630,0.931923138094068,47084,0.0680768619059323,uninfected,0,X_uninfected
GR,X_8,X,0.769086805555556,638247,664491,0.960505108421333,26244,0.039494891578667,infected,6,X_infected
RB,X_8,X,0.83902662037037,607243,724919,0.837670139698366,117676,0.162329860301634,infected,25,X_infected
RG,X_8,X,0.766532407407407,643242,662284,0.971247984248449,19042,0.0287520157515507,uninfected,0,X_uninfected
RR,X_8,X,0.757524305555556,652793,654501,0.99739037831875,1708,0.00260962168125034,uninfected,0,X_uninfected
BB,X_9,X,0.858077546296296,738034,741379,0.995488137646197,3345,0.00451186235380285,uninfected,0,X_uninfected
BG,X_9,X,0.856122685185185,736927,739690,0.996264651408022,2763,0.00373534859197777,infected,12,X_infected
BR,X_9,X,0.855024305555556,737842,738741,0.998783064700619,899,0.00121693529938094,infected,6,X_infected
GG,X_9,X,0.862873842592593,741977,745523,0.99524360750775,3546,0.00475639249225046,uninfected,0,X_uninfected
GR,X_9,X,0.850398148148148,733220,734744,0.997925808172642,1524,0.00207419182735757,infected,19,X_infected
RB,X_9,X,0.85719212962963,738842,740614,0.997607390624536,1772,0.00239260937546415,infected,10,X_infected
RG,X_9,X,0.857721064814815,740913,741071,0.999786795057424,158,0.000213204942576373,uninfected,0,X_uninfected
RR,X_9,X,0.850392361111111,734011,734739,0.999009171964466,728,0.000990828035533742,uninfected,0,X_uninfected
